SPA,Service Code,Charge,Stop Date,New Charge
815510000020,DF001,12.00,013120,12.50
815510000030,DF001,12.00,013120,12.50
815510000040,DF001,12.00,013120,12.50
815510000050,DF001,12.00,013120,12.50
815510000060,DF001,12.00,013120,12.50
815510000070,DF001,12.00,013120,12.50
815510000090,DF001,12.00,013120,12.50
815510000100,DF001,12.00,013120,12.50
815510000110,DF001,12.00,013120,12.50
815510000120,DF001,12.00,013120,12.50
815510000130,DF001,12.00,013120,12.50
815510000140,DF001,12.00,013120,12.50
815510000150,DF001,12.00,013120,12.50
815510000170,DF001,12.00,013120,12.50
815510000180,DF001,12.00,013120,12.50
815510000190,DF001,12.00,013120,12.50
815510000200,DF001,12.00,013120,12.50
815510000210,DF001,12.00,013120,12.50
815510000230,DF001,12.00,013120,12.50
815510000240,DF001,12.00,013120,12.50
815510000250,DF001,12.00,013120,12.50
815510000260,DF001,12.00,013120,12.50
815510000270,DF001,12.00,013120,12.50
815510000280,DF001,12.00,013120,12.50
815510000290,DF001,12.00,013120,12.50
815510000300,DF001,12.00,013120,12.50
815510000310,DF001,12.00,013120,12.50
815510000320,DF001,12.00,013120,12.50
815510000330,DF001,12.00,013120,12.50
815510000340,DF001,12.00,013120,12.50
815510000350,DF001,12.00,013120,12.50
815510000360,DF001,12.00,013120,12.50
815510000370,DF001,12.00,013120,12.50
815510000510,DF001,12.00,013120,12.50
815510000520,DF001,12.00,013120,12.50
815510000980,DF001,12.00,013120,12.50
815510000990,DF001,12.00,013120,12.50
815520000020,DF001,12.00,013120,12.50
815520000050,DF001,12.00,013120,12.50
815520000060,DF001,12.00,013120,12.50
815520000070,DF001,12.00,013120,12.50
815520000080,DF001,12.00,013120,12.50
815520000090,DF001,12.00,013120,12.50
815520000110,DF001,12.00,013120,12.50
815520000120,DF001,12.00,013120,12.50
815520000130,DF001,12.00,013120,12.50
815520000140,DF001,12.00,013120,12.50
815520000150,DF001,12.00,013120,12.50
815520000160,DF001,12.00,013120,12.50
815520000170,DF001,12.00,013120,12.50
815520000180,DF001,12.00,013120,12.50
815520000190,DF001,12.00,013120,12.50
815520000210,DF001,12.00,013120,12.50
815520000220,DF001,12.00,013120,12.50
815520000230,DF001,12.00,013120,12.50
815520000240,DF001,12.00,013120,12.50
815520000250,DF001,12.00,013120,12.50
815520000260,DF001,12.00,013120,12.50
815520000270,DF001,12.00,013120,12.50
815520000280,DF001,12.00,013120,12.50
815520000300,DF001,12.00,013120,12.50
815520000310,DF001,12.00,013120,12.50
815520000330,DF001,12.00,013120,12.50
815520000350,DF001,12.00,013120,12.50
815520000360,DF001,12.00,013120,12.50
815520000370,DF001,12.00,013120,12.50
815520000380,DF001,12.00,013120,12.50
815520000400,DF001,12.00,013120,12.50
815520000410,DF001,12.00,013120,12.50
815520000430,DF001,12.00,013120,12.50
815520000440,DF001,12.00,013120,12.50
815520000450,DF001,12.00,013120,12.50
815520000460,DF001,12.00,013120,12.50
815520000470,DF001,12.00,013120,12.50
815520000480,DF001,12.00,013120,12.50
815520000490,DF001,12.00,013120,12.50
815520000500,DF001,12.00,013120,12.50
815520000510,DF001,12.00,013120,12.50
815520000520,DF001,12.00,013120,12.50
815530000010,DF001,12.00,013120,12.50
815530000020,DF001,12.00,013120,12.50
815530000030,DF001,12.00,013120,12.50
815530000040,DF001,12.00,013120,12.50
815530000050,DF001,12.00,013120,12.50
815530000060,DF001,12.00,013120,12.50
815530000070,DF001,12.00,013120,12.50
815530000080,DF001,12.00,013120,12.50
815530000090,DF001,12.00,013120,12.50
815530000100,DF001,12.00,013120,12.50
815530000110,DF001,12.00,013120,12.50
815530000120,DF001,12.00,013120,12.50
815530000130,DF001,12.00,013120,12.50
815530000140,DF001,12.00,013120,12.50
815530000150,DF001,12.00,013120,12.50
815530000160,DF001,12.00,013120,12.50
815530000170,DF001,12.00,013120,12.50
815530000180,DF001,12.00,013120,12.50
815530000190,DF001,12.00,013120,12.50
815530000200,DF001,12.00,013120,12.50
815530000210,DF001,12.00,013120,12.50
815530000220,DF001,12.00,013120,12.50
815530000230,DF001,12.00,013120,12.50
815530000240,DF001,12.00,013120,12.50
815530000250,DF001,12.00,013120,12.50
815530000260,DF001,12.00,013120,12.50
815530000270,DF001,12.00,013120,12.50
815530000280,DF001,12.00,013120,12.50
815530000290,DF001,12.00,013120,12.50
815530000300,DF001,12.00,013120,12.75
815530000310,DF001,12.00,013120,12.50
815530000320,DF001,12.00,013120,12.50
815530000330,DF001,12.00,013120,12.50
815530000340,DF001,12.00,013120,12.50
815530000350,DF001,12.00,013120,12.50
815530000360,DF001,12.00,013120,12.50
815530000370,DF001,12.00,013120,12.50
815530000380,DF001,12.00,013120,12.50
815530000390,DF001,12.00,013120,12.50
815530000400,DF001,12.00,013120,12.50
815530000410,DF001,12.00,013120,12.50
815530000420,DF001,12.00,013120,12.50
815530000430,DF001,12.00,013120,12.50
815530000440,DF001,12.00,013120,12.50
815530000450,DF001,12.00,013120,12.50
815530000460,DF001,12.00,013120,12.50
815530000470,DF001,12.00,013120,12.50
815530000480,DF001,12.00,013120,12.50
815530000490,DF001,12.00,013120,12.50
815540000010,DF001,12.00,013120,12.50
815540000020,DF001,12.00,013120,12.50
815540000030,DF001,12.00,013120,12.50
815540000040,DF001,12.00,013120,12.50
815540000050,DF001,12.00,013120,12.50
815540000060,DF001,12.00,013120,12.50
815540000070,DF001,12.00,013120,12.50
815540000080,DF001,12.00,013120,12.50
815540000090,DF001,12.00,013120,12.50
815540000100,DF001,12.00,013120,12.50
815540000110,DF001,12.00,013120,12.50
815540000120,DF001,12.00,013120,12.50
815540000130,DF001,12.00,013120,12.50
815540000140,DF001,12.00,013120,12.50
815540000160,DF001,12.00,013120,12.50
815540000170,DF001,12.00,013120,12.50
815540000180,DF001,12.00,013120,12.50
815540000190,DF001,12.00,013120,12.50
815540000200,DF001,12.00,013120,12.50
815540000210,DF001,12.00,013120,12.50
815540000230,DF001,12.00,013120,12.50
815540000270,DF001,12.00,013120,12.50
815540000280,DF001,12.00,013120,12.50
815540000290,DF001,12.00,013120,12.50
815540000300,DF001,12.00,013120,12.50
815540000310,DF001,12.00,013120,12.50
815540000320,DF001,12.00,013120,12.50
815540000330,DF001,12.00,013120,12.50
815540000340,DF001,12.00,013120,12.50
815540000350,DF001,12.00,013120,12.50
815540000360,DF001,12.00,013120,12.50
815540000370,DF001,12.00,013120,12.50
815540000380,DF001,12.00,013120,12.50
815540000390,DF001,12.00,013120,12.50
815540000400,DF001,12.00,013120,12.50
815540000410,DF001,12.00,013120,12.50
815540000420,DF001,12.00,013120,12.50
815540000430,DF001,12.00,013120,12.50
815540000440,DF001,12.00,013120,12.50
815540000450,DF001,12.00,013120,12.50
815540000460,DF001,12.00,013120,12.50
815540000470,DF001,12.00,013120,12.50
815540000480,DF001,12.00,013120,12.50
815540000490,DF001,12.00,013120,12.50
815540000500,DF001,12.00,013120,12.50
815540000510,DF001,12.00,013120,12.50
815540000520,DF001,12.00,013120,12.50
815540000530,DF001,12.00,013120,12.50
815540000540,DF001,12.00,013120,12.50
815540000550,DF001,12.00,013120,12.50
815540000560,DF001,12.00,013120,12.50
815540000570,DF001,12.00,013120,12.50
815540000580,DF001,12.00,013120,12.50
815540000590,DF001,12.00,013120,12.50
815540000600,DF001,12.00,013120,12.50
815540000630,DF001,12.00,013120,12.50
815540000640,DF001,12.00,013120,12.50
815550000010,DF001,12.00,013120,12.50
815550000020,DF001,12.00,013120,12.50
815550000040,DF001,12.00,013120,12.50
815550000050,DF001,12.00,013120,12.50
815550000060,DF001,12.00,013120,12.50
815550000070,DF001,12.00,013120,12.50
815550000080,DF001,12.00,013120,12.50
815550000090,DF001,12.00,013120,12.50
815550000100,DF001,12.00,013120,12.50
815550000110,DF001,12.00,013120,12.50
815550000140,DF001,12.00,013120,12.50
815550000150,DF001,12.00,013120,12.50
815550000160,DF001,12.00,013120,12.50
815550000170,DF001,12.00,013120,12.50
815550000180,DF001,12.00,013120,12.50
815550000190,DF001,12.00,013120,12.50
815550000200,DF001,12.00,013120,12.50
815550000210,DF001,12.00,013120,12.50
815550000220,DF001,12.00,013120,12.50
